,1/1/2010,2/1/2010,3/1/2010,4/1/2010,5/1/2010,6/1/2010,7/1/2010,8/1/2010,9/1/2010,10/1/2010,11/1/2010,12/1/2010,1/1/2011,2/1/2011,3/1/2011,4/1/2011,5/1/2011,6/1/2011,7/1/2011,8/1/2011,9/1/2011,10/1/2011,11/1/2011,12/1/2011,1/1/2012,2/1/2012,3/1/2012,4/1/2012,5/1/2012,6/1/2012,7/1/2012,8/1/2012,9/1/2012,10/1/2012,11/1/2012,12/1/2012,1/1/2013,2/1/2013,3/1/2013,4/1/2013,5/1/2013,6/1/2013,7/1/2013,8/1/2013,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,10/1/2016,11/1/2016,12/1/2016,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017,6/1/2017,7/1/2017,8/1/2017,9/1/2017,10/1/2017,11/1/2017,12/1/2017,1/1/2018,2/1/2018,3/1/2018,4/1/2018,5/1/2018,6/1/2018,7/1/2018,8/1/2018,9/1/2018,10/1/2018,11/1/2018,12/1/2018,1/1/2019,2/1/2019,3/1/2019,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022
Kusma,1,2,1,1,,2,1,2,,,2,,2,2,1,1,2,1,2,,,1,2,2,2,1,1,1,4,,2,2,10,5,2,,4,3,2,2,3,3,3,4,3,3,2,3,,3,,3,,1,1,3,,1,3,3,2,,1,,,,,4,9,59,75,31,5,38,13,6,2,,2,4,5,3,3,2,2,2,4,2,,1,,3,1,3,,,,,2,,1,,4,2,,,1,1,,1,2,,2,6,3,2,1,1,1,1,4,1,1,1,,2,,,,,,,,,,,,,1,,1,,,2,1,,,,,,1,
Legionellose,4,3,5,4,1,6,6,4,5,2,3,5,2,,1,3,4,1,3,3,3,5,5,3,,4,1,2,2,2,3,3,2,2,2,2,3,,2,6,4,6,5,7,5,1,1,,5,3,1,1,2,5,7,7,4,8,4,4,2,5,3,3,1,5,7,7,8,10,4,6,6,1,1,2,3,2,4,9,4,7,3,1,2,3,2,2,7,6,3,5,2,11,6,3,6,6,,2,4,6,11,6,9,9,10,1,,2,3,4,5,8,9,11,7,5,5,6,5,3,6,3,1,4,1,3,5,5,2,1,4,2,3,1,6,4,6,9,3,,2,3,4,1,3,4,8,7,7,8
Lepra,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Listeriose,6,,2,1,3,,2,1,1,,2,4,3,3,1,1,,,3,3,2,1,1,3,4,5,1,,2,4,1,2,4,1,3,3,4,,1,1,1,2,1,1,,1,4,5,4,2,2,1,2,4,1,1,4,4,1,3,2,2,,2,1,2,2,1,4,,2,,6,,,2,,1,2,3,4,,,1,3,,1,1,1,,,2,2,6,,1,1,4,,1,,2,,4,2,,5,5,7,1,1,,,3,1,5,3,1,2,3,,4,,,4,5,2,2,6,2,4,8,2,,1,1,1,,3,2,3,2,3,2,4,3,1,2,1,2,3,3
Lyme borreliose,13,9,9,9,7,17,25,48,59,45,27,20,16,8,9,2,12,15,20,40,41,44,26,15,6,6,7,11,11,15,37,40,39,35,32,17,18,7,7,6,11,22,32,45,52,55,38,23,14,11,14,12,20,28,37,47,40,47,33,19,11,9,16,11,13,23,40,68,81,70,53,31,23,19,13,13,14,37,47,69,53,39,59,23,14,22,16,11,18,27,53,80,72,56,36,33,19,11,9,19,19,40,39,87,56,63,40,19,17,13,13,7,15,39,67,89,62,79,57,30,24,17,19,13,18,45,71,78,84,62,53,26,23,11,26,15,28,42,66,73,63,84,70,35,25,11,13,17,32,45,65,70
Lymfogranuloma venerum (LGV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,4,3,,1,1,5,3,5,2,7,2,3,,2,,,,,,,,,,,,,,3,3,1,,2,1,5,5,3,5,1,,,2
MRSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRSA-infeksjon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRSA-smittebærertilstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaria,5,2,3,2,1,3,4,6,3,2,3,3,,8,4,,2,5,3,4,3,,2,,,,1,3,4,5,6,10,,3,2,3,8,4,2,2,6,12,11,13,7,8,8,6,5,5,7,9,15,17,11,14,18,5,6,8,6,2,6,4,5,8,10,8,15,12,13,5,7,,9,3,8,10,9,7,4,7,5,6,6,3,3,4,6,6,7,11,5,4,6,,4,3,2,2,3,4,6,9,2,1,4,15,9,10,4,4,10,14,15,13,26,39,26,26,7,12,5,2,1,3,4,2,2,4,,4,9,13,6,8,6,2,1,6,2,3,6,6,11,4,4,2,2,1,2,9
